ACSM1	175989	641	11	1830
ACSM2A	181483	823	6	1760
ACSM2B	166410	726	-6	1882
ACSM3	211686	580	23	1815
ACSM4	1157790	439	27	1740
ACSM5	181483	823	6	1738
ACSS1	572146	563	-18	2408
ACSS2	1004645	205	44	2274
ACSS3	26211	1037	-20	2069
ACTA1	243405	361	29	1131
ACTA2	181406	267	30	1131
ACTB	1906749	195	34	1146
ACTBL2	160055	456	3	1128
ACTC1	521214	306	-1	1131
ACTG1	3582152	268	26	1206
ACTG2	1036341	284	45	1388
ACTL6A	399933	477	11	1318
ACTL6B	1884430	247	60	1278
ACTL7A	336944	471	9	1305
ACTL7B	336944	471	9	1245
ACTL8	249962	416	27	1098
ACTL9	536422	487	-47	1248
ACTN1	609757	344	44	3015
ACTN2	427180	682	-10	2768
ACTN3	1343990	194	62	3048
ACTN4	1596646	322	36	2927
ACTR10	291132	545	21	1382
ACTR1A	871726	178	41	1128
ACTR1B	362146	520	25	1129
ACTR2	606183	343	31	1263
ACTR3	402980	629	15	1254
ACTR3B	190917	535	5	1254
ACTR5	358558	551	35	1821
ACTR6	184664	650	9	1354
ACTR8	128709	552	39	1891
ACTRT1	938	443	-35	1128
ACTRT2	308009	634	19	1131
ACVR1	81110	935	2	1527
ACVR1B	493265	371	27	1874
ACVR1C	79510	911	7	1479
ACVR2A	90992	951	-2	1539
ACVR2B	337567	514	28	1536
ACVRL1	493265	371	27	1658
ACY1	1045639	224	36	693
ACY3	1408104	424	60	957
ACYP1	919043	222	47	516
ACYP2	619188	448	11	428
ADA	801801	171	42	1089
ADAD1	227942	612	-14	1728
ADAD2	582429	364	12	1995
ADAL	823006	415	50	1109
ADAM10	506165	386	31	2443
ADAM11	1224408	175	31	2317
ADAM12	214443	485	-29	2828
ADAM15	1696720	214	44	2661
ADAM17	691902	278	38	2484
ADAM18	175645	764	4	2276
ADAM19	261911	1079	45	3148
ADAM2	12694	576	-2	2205
ADAM20	333836	706	26	2328
ADAM21	423685	706	22	2166
ADAM22	178742	722	17	3111
ADAM23	290387	726	16	2678
ADAM28	55817	565	5	2475
ADAM29	49942	889	-36	2460
ADAM30	390094	560	9	2370
ADAM32	347510	612	-5	2613
ADAM33	942842	353	32	2439
ADAM7	56052	741	6	2403
ADAM8	339279	452	-12	2667
ADAM9	389317	428	22	2616
ADAMDEC1	57540	741	5	1445
ADAMTS1	33367	441	-72	2992
ADAMTS10	622624	214	-14	3373
ADAMTS12	373086	875	7	4844
ADAMTS13	1843278	263	33	4492
ADAMTS14	546305	566	37	3678
ADAMTS15	686411	396	0	2850
ADAMTS16	89385	683	-23	3681
ADAMTS17	143599	755	-36	3462
ADAMTS18	61971	1102	-26	3756
ADAMTS19	38096	1075	-16	3633
ADAMTS2	1496298	677	-4	3702
ADAMTS20	126632	906	-21	5958
ADAMTS3	70065	633	-15	3615
ADAMTS4	728669	234	37	2571
ADAMTS5	33106	441	-79	2790
ADAMTS6	275284	480	5	3539
ADAMTS7	507164	413	46	5058
ADAMTS8	693280	382	-6	2667
ADAMTS9	90552	783	-10	5806
ADAMTSL1	313133	527	-18	5534
ADAMTSL2	1869593	315	35	3180
ADAMTSL3	112410	888	-7	5109
ADAMTSL4	1475649	152	31	3363
ADAMTSL5	2122824	221	35	1530
ADAP1	737267	310	41	1675
ADAP2	594135	209	20	1162
ADAR	1927515	403	36	3822
ADARB1	596496	250	42	2313
ADARB2	284080	633	8	2426
ADAT1	449343	354	18	1626
ADAT2	299410	495	7	585
ADAT3	658491	443	20	1053
ADC	756118	264	21	1497
ADCK1	427928	517	24	1759
ADCK2	354697	567	38	2064
ADCK4	1022809	201	31	1652
ADCK5	2284602	200	32	1814
ADCY1	287931	686	11	3441
ADCY10	534611	238	13	4846
ADCY2	60911	1014	-22	3453
ADCY3	284877	296	37	3584
ADCY4	906124	173	39	3122
ADCY5	372027	458	42	3980
ADCY6	1715886	328	38	3537
ADCY7	304156	520	21	3375
ADCY8	45406	771	-7	3753
ADCY9	740126	140	19	4192
ADCYAP1	272034	531	-13	528
ADCYAP1R1	364216	631	7	1572
ADD1	669373	264	45	2468
ADD2	659649	592	24	2396
ADD3	349258	424	3	2118
ADH1A	250334	786	3	1125
ADH1B	332785	854	8	1146
ADH1C	332785	854	8	1125
