0	491
0.115	1
0.1215	1
0.125	49
0.126	6
0.127	3
0.128	4
0.129	8
0.131	7
0.132	15
0.133	7
0.134	9
0.135	11
0.136	11
0.137	7
0.138	11
0.139	9
0.14	13
0.141	7
0.142	11
0.143	16
0.144	19
0.145	20
0.146	14
0.147	11
0.148	16
0.149	17
0.15	14
0.151	21
0.152	20
0.153	14
0.154	27
0.155	18
0.156	16
0.157	21
0.158	19
0.159	17
0.16	15
0.161	29
0.162	18
0.163	20
0.164	20
0.165	24
0.166	25
0.167	21
0.168	33
0.169	24
0.17	28
0.171	30
0.172	35
0.173	25
0.174	24
0.1745	1
0.175	26
0.176	31
0.177	31
0.178	29
0.179	34
0.18	27
0.181	32
0.182	37
0.183	29
0.184	26
0.185	31
0.186	25
0.1865	1
0.187	31
0.188	42
0.189	27
0.19	32
0.191	43
0.192	35
0.193	32
0.194	35
0.1945	1
0.195	25
0.196	34
0.197	37
0.198	37
0.199	27
0.2	22
0.201	33
0.202	40
0.203	29
0.204	29
0.205	32
0.206	33
0.207	30
0.2075	1
0.208	40
0.209	33
0.21	23
0.211	32
0.2115	1
0.212	40
0.213	32
0.214	46
0.215	31
0.216	23
0.217	19
0.2175	1
0.218	38
0.219	23
0.22	27
0.221	37
0.222	32
0.223	19
0.224	36
0.225	29
0.226	26
0.227	21
0.228	25
0.229	29
0.23	25
0.231	22
0.232	24
0.233	18
0.234	20
0.235	16
0.2355	1
0.236	18
0.237	20
0.238	27
0.239	24
0.24	16
0.241	21
0.242	35
0.243	22
0.244	14
0.245	11
0.246	20
0.247	19
0.248	24
0.249	21
0.2495	1
0.25	21
0.251	20
0.252	27
0.253	23
0.2535	1
0.254	26
0.255	17
0.256	29
0.257	17
0.258	31
0.259	24
0.26	16
0.2605	1
0.261	23
0.262	28
0.263	22
0.264	24
0.265	18
0.266	16
0.267	21
0.268	20
0.269	25
0.27	26
0.271	22
0.272	24
0.2725	1
0.273	17
0.274	18
0.275	13
0.2755	2
0.276	23
0.277	14
0.278	22
0.279	21
0.28	20
0.281	21
0.282	17
0.283	21
0.2835	2
0.284	19
0.285	24
0.2855	1
0.286	24
0.287	15
0.288	28
0.289	22
0.29	21
0.291	16
0.292	21
0.293	22
0.294	25
0.295	18
0.296	19
0.297	18
0.2975	1
0.298	24
0.299	24
0.3	20
0.301	19
0.302	11
0.303	29
0.304	19
0.305	14
0.306	18
0.307	16
0.308	20
0.309	23
0.31	19
0.311	22
0.3115	1
0.312	24
0.313	18
0.314	21
0.315	10
0.316	11
0.3165	1
0.317	18
0.318	21
0.319	24
0.3195	1
0.32	21
0.321	20
0.322	16
0.323	12
0.324	15
0.325	23
0.326	31
0.327	25
0.328	21
0.329	15
0.33	21
0.331	19
0.332	26
0.333	24
0.334	28
0.335	14
0.336	27
0.337	19
0.338	17
0.339	20
0.34	25
0.341	19
0.342	28
0.343	26
0.344	24
0.345	27
0.346	36
0.347	25
0.348	30
0.3485	1
0.349	21
0.35	24
0.351	25
0.352	23
0.3525	1
0.353	28
0.354	20
0.355	34
0.356	23
0.357	25
0.358	30
0.359	31
0.36	32
0.3605	1
0.361	38
0.362	29
0.3625	1
0.363	32
0.364	31
0.365	21
0.366	34
0.367	23
0.368	18
0.369	35
0.37	38
0.371	32
0.372	36
0.3725	1
0.373	27
0.374	36
0.375	37
0.376	33
0.377	23
0.378	24
0.379	34
0.38	43
0.381	29
0.382	32
0.383	25
0.384	40
0.385	45
0.386	38
0.387	27
0.388	31
0.3885	1
0.389	36
0.39	38
0.391	36
0.392	41
0.393	35
0.394	36
0.395	38
0.3955	1
0.396	41
0.397	22
0.398	32
0.399	48
0.3995	2
0.4	31
0.4005	1
0.401	48
0.402	24
0.403	36
0.4035	1
0.404	41
0.4045	1
0.405	36
0.406	48
0.407	33
0.408	37
0.409	37
0.4095	1
0.41	39
0.411	48
0.412	39
0.413	35
0.414	45
0.415	40
0.416	40
0.417	48
0.418	45
0.419	55
0.4195	1
0.42	42
0.4205	1
0.421	38
0.4215	1
0.422	39
0.423	33
